dataMatrix	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m
isobutyric acid	26203762.1603398	2876003.11311945	3865852.40860235	2892991.13659073	3726748.72883246	2663224.09598239	2610516.62966315	3173971.20555628	25786595.6619402	2789389.6071049	3156759.93176029	2501366.69944186	2406175.95886511	2957451.89300439	5125542.31857691	2959336.67948623	3224581.25690194	3014381.50883968	19861442.8840106	3610143.61120665	6620357.1530293	1553512.81013614	1138372.57284296	2583781.85651227	2676976.45466558	2997608.85209522	3091126.69451649	3620245.17825316
oxalic acid	11061825.3967351	11814955.6265457	13940431.9677849	16163686.3556747	13054714.7755281	11452850.8123258	8485286.10585461	12451823.2103045	14756613.546382	9112377.66049913	13055812.9726752	13609701.3512359	8881525.91657618	9912692.54815518	9611805.65733364	12381939.0013419	8207574.08375602	9711636.48559448	10475240.8709753	13384567.8158674	11010345.0386668	8862654.1152005	12925076.6006945	10014938.4174493	10900051.0663106	9817788.43491275	11990126.988204	12855058.9036395
isovaleric acid	2786521.81231761	1424620.90447116	1354113.1637732	3296189.98735664	4093719.50381882	2973853.14315048	990012.595652658	1467492.19432898	3753935.09431144	1887972.00283028	3825660.7262168	1451367.81225059	1409182.1051144	2781389.96155278	3649415.05408701	3069855.87935631	5176987.36859037	2204150.23325167	3804766.73166299	2266803.49659849	2393404.10958177	2110790.30316461	1433752.15617855	3182984.36611985	1564454.81265997	3212092.40396671	3755388.91005049	2349425.09052504
L-serine	11355189.1202282	15447259.419169	14801721.9170316	13712888.4728506	11788681.0986037	12386027.0514864	16653294.4315438	23846407.4535373	16163391.0684261	17564241.9785828	17248603.496116	16718175.2563622	16546705.2193795	31563788.3926427	23586974.3150421	31043344.6572844	19482664.9590592	29386922.6748554	29058348.906874	21779101.83783	37841414.0860125	20193019.9104181	21737850.0436441	25147212.594742	23204864.2085805	20496147.3106744	25192624.0311221	17489542.5176502
citric acid	17375972.9999999	3430277.99999997	5124807.99999997	20143906.9999995	31000182.9999998	28156108.0000008	3543529.00000004	4382745.99999987	26415721.0000003	3499884.99999989	35883648.0000006	5076391.99999997	2407850.99999998	2808892.99999997	2938983.99999999	3875065.9999999	3518164.00000009	3158145.99999995	3048799.00000007	3556321.99999991	2952445.00000001	5718481.9999999	8872988.00000017	3046807.9999999	1831259.99999997	5742520.00000004	7080895.00000008	12760949.9999998
L-proline	12864688.9598445	27393391.0869639	27762834.6204652	21676747.5203416	18306645.3286397	18441625.7001113	25174146.3394834	35129838.7130837	23222890.3521136	21747677.2996795	21606734.198463	24303104.8978906	22618502.9544275	44646332.3028957	28292749.3914483	48056354.3214089	25366180.3202505	40840568.6583525	33607174.5185238	34625955.3879294	68381008.2415248	28997405.1112576	23938277.2104123	30604626.1625458	28399078.4325998	28438440.0890275	32803118.715014	30823113.4587824
hexanoic acid	6337475.75467555	1247608.67431736	1667119.31159693	2313029.537515	2273375.33941743	1910233.17349826	1341438.10043654	1107339.20021929	9367741.35946619	1160109.70153421	1795295.29813256	1180041.76781189	891958.013299306	908688.261146379	1857442.9660645	1223969.93170032	1099403.98637676	713076.467701877	5504504.68409498	1911780.96476491	2093810.07405346	1340102.04891047	2588259.72174839	2276570.28645392	1211051.20592775	1220116.10961358	2281010.50293415	2365771.11999765
methylmalonic acid	2327190.55675879	4838772.49841558	4840905.74636337	11955127.3416179	9390163.96898789	9798541.50710358	3723496.40027418	5324953.75039475	7414778.18172137	4335130.46590497	13474024.5918038	6100554.44781093	3347861.77481805	3338998.36894964	7796351.77604427	11162125.2400897	3183880.56743241	3466814.31625665	3430271.37605497	5760879.0059375	4702414.90726482	5652782.12156009	10179476.6883715	4844442.39534319	3780133.07341245	10303149.2854004	10575782.8527931	7017803.31654625
nicotinamide	56891702.5403477	94906756.7453605	88284017.8400629	104928546.547177	103711703.012999	100448874.218933	88835488.1358915	98151274.6245954	97358274.4160949	82245117.0102991	92172536.4635077	82965490.0856951	81322480.6737101	96084350.6456634	79158857.528972	88105596.1724741	85214604.3905661	99572698.0917724	81316174.2157538	83899996.3137822	106854180.004699	86745917.7435397	87811876.9477471	83473533.0980365	80822143.7817682	88015576.0252157	74509025.5940018	93102267.6895676
L-ornithine	3048806.52204638	3827308.84004428	3011623.07055652	4568756.28228691	3525430.21427717	3280874.91901836	3754925.00378261	5804856.65185992	5142936.53237024	3341766.00985169	3921619.43337484	3605641.27725301	3213408.6889281	5012916.73232645	4450772.03493449	6924452.9079223	3429842.38853033	4227660.30441799	4474183.82322545	3914313.25039701	5299255.66610312	3950267.52292839	5299705.6837402	3676727.6713874	3709111.0638668	5345370.78290077	5633533.62585943	4873355.25456043
