dataMatrix	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m
Q8C196_Carbamoyl-phosphate synt.	5939293695.99987	5287042559.99984	7068380672.00006	4067433215.99993	8060464640.00004	5831000576.00017	7249271296.0002	6638974975.99982	6754693632.00005	6293856255.99983	7526669823.99992	7648329727.99991	6696484864.00019	4211074560.00009	5807545855.99981	4412095999.99992	4066137088.00005	4434842623.99997	4439855616.00014	4637170175.99992	4788858879.99985	6912740863.9998	8032528895.99994	5905010687.99983	5166154752.00016	5947947519.99991	5662369792.00002	5321672703.99986
Q9DBM2_Peroxisomal bifunctional.	627207103.999989	607902207.999985	600360704.000021	529165663.999996	540978239.999987	774283456.000023	601513279.999988	619547967.999984	650502400	701179583.99999	609553727.999997	680339712.00001	538485632.000003	442914591.999997	502690304.000009	524853120.000003	432352671.999999	580144640.000012	373033056.000001	367592063.999992	540044607.999993	457039487.999999	513352608.000017	578055423.999995	606633536.000018	507629055.99999	410859807.999987	751474943.999989
Q9EQ20_Methylmalonate-semialdeh.	462216031.999986	481251264.000007	490736256.000007	521211967.999985	501113120.000001	499904256.00001	515311391.999998	518841983.999994	459672095.999989	449710655.999996	488334175.999999	471435135.999989	558872192.000016	516817919.999991	524725439.999995	512552479.999996	534313439.999993	519929375.999994	526201279.999985	419085792.000005	464750079.999985	478216448.000014	456762143.999986	474057695.999988	456733759.999988	509614528.000011	498059968.000005	474581439.999985
Q8VCW8_Acyl-CoA synthetase fami.	263956848.000006	253578832.000007	244676031.999999	326582911.99999	264585967.999992	324156223.99999	182856208.000002	294499040.00001	302634623.999998	309266303.999995	254175728.000004	311877855.999994	198281600.000004	268136799.999999	260727183.999997	259523072.000004	191035999.999998	266274303.999994	233098368.000003	296669984.00001	330201023.999991	325958527.999992	331155200.000001	296682912.000009	322240511.999996	276380511.999997	265572047.999995	327199520.000008
O35945_Aldehyde dehydrogenase, .	115581127.999998	128406975.999998	107707704.000002	140877824.000003	121638320	136454079.999996	83632711.9999985	120813103.999997	130542959.999996	132907072	117624736.000002	130150248.000004	105460775.999999	107165672	99868176.0000008	100629727.999996	105226495.999998	105163055.999996	106140567.999998	115557639.999999	114380336.000003	115407792.000002	125942223.999999	126623640.000002	135377424.000003	87684047.9999972	92780327.9999991	120782783.999998
Q91Y97_Fructose-bisphosphate al.	2414294272.00008	2584139007.99992	2209776127.99992	2686031872.00003	2347297023.99993	3067998207.99994	2414901503.99997	2415899904.00001	2846667264.00002	3095256319.9999	2348205056	2865818367.99994	2380901632.00001	2180632063.99997	2213731840.00005	2348200703.99995	2490882304.00002	2286323200.00007	2640111359.99994	2564989696	2473155328.00002	2615402752.00004	2381991424.00007	2727285504.00004	2850669567.99997	1925523967.99997	1915206784.00002	2826827263.99992
Q9CZN7_Serine hydroxymethyltran.	188279744.000001	179194415.999999	171572048.000002	194020911.999997	184057584.000002	204738720.000004	164856095.999996	183117168.000002	186777488	188886944.000001	168959055.999998	177910911.999994	184329536.000002	173880591.999994	183991696.000003	175534416	178777952.000001	179750303.999995	179898751.999997	189186143.999994	183089648.000006	186900784.000006	182674080.000004	173175775.999999	177699311.999996	184533552.000001	170684480	194051455.999998
O88428_Bifunctional 3'-phosphoa.	113093967.999999	110399008.000001	51685536.0000015	61603636	55610708.0000011	65304783.9999989	89657160.0000006	93692472.0000018	73922223.9999978	65115088.0000016	109867256.000002	67366367.9999985	95917695.9999981	100370568	102744584.000003	107497568.000003	81209631.999999	105226464.000003	109950999.999997	51136367.9999983	59135867.9999991	50904907.9999985	55278771.9999987	60553351.9999983	61197896.000001	108332935.999998	89509007.9999997	61650744.0000008
Q9QXF8_Glycine N-methyltransfer.	655374847.999998	703045056.000019	894445695.99997	738761600	992283072.000014	746945600.000015	788326847.999988	601080512.000019	709715391.999978	767083328.000001	683088063.999996	670861695.999988	954466111.999987	608902335.999986	578127615.999996	579863104.000005	851762368.000022	593848831.999985	677706752.000005	617245119.99999	558937663.999987	602014848	644503743.999999	612075647.99998	672321728.000021	577736000.000003	444793727.999998	795953919.999995
O08749_Dihydrolipoyl dehydrogen.	135148432.000001	137676943.999996	145165919.999999	143006224.000001	146935488.000003	151148192	156669424.000001	148006511.999996	141405807.999999	136806320.000001	136325216.000001	141010496.000005	153041680	147381167.999996	144537056	144453472	156351775.999998	146825280.000002	138591424.000004	131194680	146611888.000005	155442959.999995	140760543.999995	140999776.000001	141542608	146920304	149828432	146681600
